"Tekjuflokkur","Undirflokkur","Upphæð","Dagsetning"
"Aðrar tekjur","Arðgreiðslur ",9219000,"2012-02-29"
"Aðrar tekjur","Arðgreiðslur ",10123500,"2012-03-31"
"Aðrar tekjur","Arðgreiðslur ",1807250000,"2012-04-30"
"Aðrar tekjur","Arðgreiðslur ",3473376523,"2012-05-31"
"Aðrar tekjur","Arðgreiðslur ",7181000,"2012-06-30"
"Aðrar tekjur","Arðgreiðslur ",17920218,"2012-07-31"
"Aðrar tekjur","Arðgreiðslur ",8881000,"2012-08-31"
"Aðrar tekjur","Arðgreiðslur ",8881000,"2012-09-30"
"Aðrar tekjur","Arðgreiðslur ",8881000,"2012-10-31"
"Aðrar tekjur","Arðgreiðslur ",54989100,"2012-11-30"
"Aðrar tekjur","Arðgreiðslur ",6891712,"2012-12-31"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",0,"2012-01-31"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",0,"2012-02-29"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",400000000,"2012-03-31"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",50000000,"2012-04-30"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",170000000,"2012-05-31"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",350000000,"2012-06-30"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",0,"2012-07-31"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",50000000,"2012-08-31"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",300000000,"2012-09-30"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",16000000,"2012-10-31"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",0,"2012-11-30"
"Aðrar tekjur","Hluti af tekjum ríkisfyrirtækja",250000000,"2012-12-31"
"Aðrar tekjur","Leigutekjur",880968909,"2012-01-31"
"Aðrar tekjur","Leigutekjur",5701942,"2012-02-29"
"Aðrar tekjur","Leigutekjur",98836891,"2012-03-31"
"Aðrar tekjur","Leigutekjur",1071245298,"2012-04-30"
"Aðrar tekjur","Leigutekjur",844452865,"2012-05-31"
"Aðrar tekjur","Leigutekjur",26931047,"2012-06-30"
"Aðrar tekjur","Leigutekjur",44522755,"2012-07-31"
"Aðrar tekjur","Leigutekjur",15228817,"2012-08-31"
"Aðrar tekjur","Leigutekjur",29804752,"2012-09-30"
"Aðrar tekjur","Leigutekjur",490322248,"2012-10-31"
"Aðrar tekjur","Leigutekjur",52205594,"2012-11-30"
"Aðrar tekjur","Leigutekjur",3005057484,"2012-12-31"
"Aðrar tekjur","Sala á vöru og þjónustu",285130098,"2012-01-31"
"Aðrar tekjur","Sala á vöru og þjónustu",327566950,"2012-02-29"
"Aðrar tekjur","Sala á vöru og þjónustu",352968983,"2012-03-31"
"Aðrar tekjur","Sala á vöru og þjónustu",324332944,"2012-04-30"
"Aðrar tekjur","Sala á vöru og þjónustu",321585978,"2012-05-31"
"Aðrar tekjur","Sala á vöru og þjónustu",885927639,"2012-06-30"
"Aðrar tekjur","Sala á vöru og þjónustu",243804672,"2012-07-31"
"Aðrar tekjur","Sala á vöru og þjónustu",344243314,"2012-08-31"
"Aðrar tekjur","Sala á vöru og þjónustu",1396368329,"2012-09-30"
"Aðrar tekjur","Sala á vöru og þjónustu",1100475922,"2012-10-31"
"Aðrar tekjur","Sala á vöru og þjónustu",357271440,"2012-11-30"
"Aðrar tekjur","Sala á vöru og þjónustu",425741610,"2012-12-31"
"Aðrar tekjur","Sektir og skaðabætur",64305629,"2012-01-31"
"Aðrar tekjur","Sektir og skaðabætur",116398089,"2012-02-29"
"Aðrar tekjur","Sektir og skaðabætur",210057341,"2012-03-31"
"Aðrar tekjur","Sektir og skaðabætur",84880984,"2012-04-30"
"Aðrar tekjur","Sektir og skaðabætur",534304205,"2012-05-31"
"Aðrar tekjur","Sektir og skaðabætur",113678978,"2012-06-30"
"Aðrar tekjur","Sektir og skaðabætur",112620285,"2012-07-31"
"Aðrar tekjur","Sektir og skaðabætur",73472398,"2012-08-31"
"Aðrar tekjur","Sektir og skaðabætur",113053808,"2012-09-30"
"Aðrar tekjur","Sektir og skaðabætur",121294199,"2012-10-31"
"Aðrar tekjur","Sektir og skaðabætur",100402458,"2012-11-30"
"Aðrar tekjur","Sektir og skaðabætur",92097402,"2012-12-31"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",16945064,"2012-01-31"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",7528922,"2012-02-29"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",55603114,"2012-03-31"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",18470220,"2012-04-30"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",-10364000,"2012-05-31"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",31684966,"2012-06-30"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",-64956853,"2012-07-31"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",-4548574,"2012-08-31"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",-27293058,"2012-09-30"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",25258821,"2012-10-31"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",7812380,"2012-11-30"
"Aðrar tekjur","Ýmsar og óskilgreindar tekjur",3514414,"2012-12-31"
"Sala eigna","Sala eigna",35700000,"2012-01-31"
"Sala eigna","Sala eigna",0,"2012-02-29"
"Sala eigna","Sala eigna",1142502022,"2012-03-31"
"Sala eigna","Sala eigna",27375889,"2012-04-30"
"Sala eigna","Sala eigna",0,"2012-05-31"
"Sala eigna","Sala eigna",8600000,"2012-06-30"
"Sala eigna","Sala eigna",44700000,"2012-07-31"
"Sala eigna","Sala eigna",52539930,"2012-08-31"
"Sala eigna","Sala eigna",4995000,"2012-09-30"
"Sala eigna","Sala eigna",25310000,"2012-10-31"
"Sala eigna","Sala eigna",47918199,"2012-11-30"
"Sala eigna","Sala eigna",171190861,"2012-12-31"
