"Auðkenni ráðuneytis","Ráðuneyti","Rasto","Stofnun","Gjöld - sértekjur","Lokadagsetning ársfjórðungs"
"00","Æðsta stjórn ríkisins","00101","Embætti forseta Íslands",44460238,"2012-09-30"
"00","Æðsta stjórn ríkisins","00201","Alþingi",610926774,"2012-09-30"
"00","Æðsta stjórn ríkisins","00205","Framkvæmdir á Alþingisreit",0,"2012-09-30"
"00","Æðsta stjórn ríkisins","00290","Stjórnlagaþing",0,"2012-09-30"
"00","Æðsta stjórn ríkisins","00291","Rannsóknarnefndir Alþingis",88137626,"2012-09-30"
"00","Æðsta stjórn ríkisins","00295","Saksóknari Alþingis",46512,"2012-09-30"
"00","Æðsta stjórn ríkisins","00301","Ríkisstjórn",54771563,"2012-09-30"
"00","Æðsta stjórn ríkisins","00401","Hæstiréttur",58540077,"2012-09-30"
"00","Æðsta stjórn ríkisins","00610","Umboðsmaður Alþingis",34800781,"2012-09-30"
"00","Æðsta stjórn ríkisins","00620","Ríkisendurskoðun",110685080,"2012-09-30"
"01","Forsætisráðuneyti","01101","Forsætisráðuneyti, aðalskrifstofa",80074496,"2012-09-30"
"01","Forsætisráðuneyti","01190","Ýmis verkefni",21470172,"2012-09-30"
"01","Forsætisráðuneyti","01199","Ráðstöfunarfé",0,"2012-09-30"
"01","Forsætisráðuneyti","01201","Fasteignir forsætisráðuneytis",19354816,"2012-09-30"
"01","Forsætisráðuneyti","01203","Fasteignir Stjórnarráðsins",23402790,"2012-09-30"
"01","Forsætisráðuneyti","01241","Umboðsmaður barna",10132486,"2012-09-30"
"01","Forsætisráðuneyti","01253","Vest-norrænt menningarhús í Kaupmannahöfn",0,"2012-09-30"
"01","Forsætisráðuneyti","01261","Óbyggðanefnd",11168451,"2012-09-30"
"01","Forsætisráðuneyti","01271","Ríkislögmaður",17753107,"2012-09-30"
"01","Forsætisráðuneyti","01281","Atvinnuuppbygging og fjölgun vistvænna starfa",800000,"2012-09-30"
"01","Forsætisráðuneyti","01902","Þjóðgarðurinn á Þingvöllum",47462737,"2012-09-30"
"01","Forsætisráðuneyti","01996","Íslenska upplýsingasamfélagið, sameiginleg verkefni ráðuneyta",0,"2012-09-30"
"02","Mennta- og menningarmálaráðuneyti","02101","Mennta- og menningarmálaráðuneyti, aðalskrifstofa",198093195,"2012-09-30"
