"Auðkenni ráðuneytis","Ráðuneyti","Rasto","Stofnun","Gjöld - sértekjur","Lokadagsetning ársfjórðungs"
"00","Æðsta stjórn ríkisins","00101","Embætti forseta Íslands",45090019,"2012-03-31"
"00","Æðsta stjórn ríkisins","00201","Alþingi",622711310,"2012-03-31"
"00","Æðsta stjórn ríkisins","00205","Framkvæmdir á Alþingisreit",0,"2012-03-31"
"00","Æðsta stjórn ríkisins","00207","Rannsókn á falli íslensku bankanna á árinu 2008",0,"2012-03-31"
"00","Æðsta stjórn ríkisins","00290","Stjórnlagaþing",6224502,"2012-03-31"
"00","Æðsta stjórn ríkisins","00291","Rannsóknarnefndir Alþingis",56322184,"2012-03-31"
"00","Æðsta stjórn ríkisins","00295","Saksóknari Alþingis",4175628,"2012-03-31"
"00","Æðsta stjórn ríkisins","00301","Ríkisstjórn",78713980,"2012-03-31"
"00","Æðsta stjórn ríkisins","00401","Hæstiréttur",66952766,"2012-03-31"
"00","Æðsta stjórn ríkisins","00610","Umboðsmaður Alþingis",30243526,"2012-03-31"
"00","Æðsta stjórn ríkisins","00620","Ríkisendurskoðun",119101240,"2012-03-31"
"01","Forsætisráðuneyti","01101","Forsætisráðuneyti, aðalskrifstofa",75344928,"2012-03-31"
"01","Forsætisráðuneyti","01190","Ýmis verkefni",5539814,"2012-03-31"
"01","Forsætisráðuneyti","01199","Ráðstöfunarfé",0,"2012-03-31"
"01","Forsætisráðuneyti","01201","Fasteignir forsætisráðuneytis",14843330,"2012-03-31"
"01","Forsætisráðuneyti","01203","Fasteignir Stjórnarráðsins",1187488,"2012-03-31"
"01","Forsætisráðuneyti","01241","Umboðsmaður barna",8077451,"2012-03-31"
"01","Forsætisráðuneyti","01253","Vest-norrænt menningarhús í Kaupmannahöfn",194343,"2012-03-31"
"01","Forsætisráðuneyti","01261","Óbyggðanefnd",6074440,"2012-03-31"
"01","Forsætisráðuneyti","01271","Ríkislögmaður",17077215,"2012-03-31"
"01","Forsætisráðuneyti","01281","Atvinnuuppbygging og fjölgun vistvænna starfa",0,"2012-03-31"
"01","Forsætisráðuneyti","01902","Þjóðgarðurinn á Þingvöllum",23347898,"2012-03-31"
"01","Forsætisráðuneyti","01996","Íslenska upplýsingasamfélagið, sameiginleg verkefni ráðuneyta",0,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02101","Mennta- og menningarmálaráðuneyti, aðalskrifstofa",208219074,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02199","Ráðstöfunarfé",0,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02201","Háskóli Íslands",2289303784,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02202","Tilraunastöð Háskólans að Keldum",23151528,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02203","Raunvísindastofnun Háskólans",83467120,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02209","Stofnun Árna Magnússonar í íslenskum fræðum",61512788,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02210","Háskólinn á Akureyri",307655052,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02216","Landbúnaðarháskóli Íslands",203456917,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02217","Hólaskóli - Háskólinn á Hólum",96767258,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02223","Námsmatsstofnun",43078232,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02225","Háskólinn á Bifröst",80424000,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02227","Háskólinn í Reykjavík",503523000,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02228","Listaháskóli Íslands",164849880,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02231","Rannsóknamiðstöð Íslands",70452126,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02234","Ritlauna- og rannsóknasjóður prófessora",0,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02235","Markáætlun á sviði vísinda og tækni",11223000,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02236","Rannsóknasjóður",221652838,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02238","Tækjasjóður",27564399,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02239","Rannsóknarnámssjóður",23156087,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02269","Háskóla- og vísindastofnanir, viðhald og stofnkostnaður",1837787,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02299","Háskóla- og rannsóknastarfsemi",68928611,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02301","Menntaskólinn í Reykjavík",137076370,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02302","Menntaskólinn á Akureyri",135187979,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02303","Menntaskólinn að Laugarvatni",50681230,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02304","Menntaskólinn við Hamrahlíð",235054865,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02305","Menntaskólinn við Sund",126043552,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02306","Menntaskólinn á Ísafirði",69002719,"2012-03-31"
"02","Mennta- og menningarmálaráðuneyti","02307","Menntaskólinn á Egilsstöðum",76256993,"2012-03-31"
