"Auðkenni ráðuneytis","Ráðuneyti","Rasto","Stofnun","Gjöld - sértekjur","Lokadagsetning ársfjórðungs"
"00","Æðsta stjórn ríkisins","00101","Embætti forseta Íslands",50593097,"2012-06-30"
"00","Æðsta stjórn ríkisins","00201","Alþingi",656852788,"2012-06-30"
"00","Æðsta stjórn ríkisins","00205","Framkvæmdir á Alþingisreit",0,"2012-06-30"
"00","Æðsta stjórn ríkisins","00290","Stjórnlagaþing",2419320,"2012-06-30"
"00","Æðsta stjórn ríkisins","00291","Rannsóknarnefndir Alþingis",72232117,"2012-06-30"
"00","Æðsta stjórn ríkisins","00295","Saksóknari Alþingis",13703645,"2012-06-30"
"00","Æðsta stjórn ríkisins","00301","Ríkisstjórn",56075499,"2012-06-30"
"00","Æðsta stjórn ríkisins","00401","Hæstiréttur",60281494,"2012-06-30"
"00","Æðsta stjórn ríkisins","00610","Umboðsmaður Alþingis",36300851,"2012-06-30"
"00","Æðsta stjórn ríkisins","00620","Ríkisendurskoðun",128346701,"2012-06-30"
"01","Forsætisráðuneyti","01101","Forsætisráðuneyti, aðalskrifstofa",86699800,"2012-06-30"
"01","Forsætisráðuneyti","01190","Ýmis verkefni",6997325,"2012-06-30"
"01","Forsætisráðuneyti","01199","Ráðstöfunarfé",0,"2012-06-30"
"01","Forsætisráðuneyti","01201","Fasteignir forsætisráðuneytis",21958255,"2012-06-30"
"01","Forsætisráðuneyti","01203","Fasteignir Stjórnarráðsins",2648124,"2012-06-30"
"01","Forsætisráðuneyti","01241","Umboðsmaður barna",9399460,"2012-06-30"
"01","Forsætisráðuneyti","01253","Vest-norrænt menningarhús í Kaupmannahöfn",11497236,"2012-06-30"
"01","Forsætisráðuneyti","01261","Óbyggðanefnd",11358631,"2012-06-30"
"01","Forsætisráðuneyti","01271","Ríkislögmaður",18100275,"2012-06-30"
"01","Forsætisráðuneyti","01281","Atvinnuuppbygging og fjölgun vistvænna starfa",700000,"2012-06-30"
"01","Forsætisráðuneyti","01902","Þjóðgarðurinn á Þingvöllum",36757586,"2012-06-30"
"01","Forsætisráðuneyti","01996","Íslenska upplýsingasamfélagið, sameiginleg verkefni ráðuneyta",0,"2012-06-30"
"02","Mennta- og menningarmálaráðuneyti","02101","Mennta- og menningarmálaráðuneyti, aðalskrifstofa",228957629,"2012-06-30"
"02","Mennta- og menningarmálaráðuneyti","02199","Ráðstöfunarfé",0,"2012-06-30"
"02","Mennta- og menningarmálaráðuneyti","02201","Háskóli Íslands",2193040045,"2012-06-30"
"02","Mennta- og menningarmálaráðuneyti","02202","Tilraunastöð Háskólans að Keldum",61700159,"2012-06-30"
"02","Mennta- og menningarmálaráðuneyti","02203","Raunvísindastofnun Háskólans",182217544,"2012-06-30"
"02","Mennta- og menningarmálaráðuneyti","02209","Stofnun Árna Magnússonar í íslenskum fræðum",83520547,"2012-06-30"
"02","Mennta- og menningarmálaráðuneyti","02210","Háskólinn á Akureyri",362061381,"2012-06-30"
"02","Mennta- og menningarmálaráðuneyti","02216","Landbúnaðarháskóli Íslands",139809037,"2012-06-30"
"02","Mennta- og menningarmálaráðuneyti","02217","Hólaskóli - Háskólinn á Hólum",72911200,"2012-06-30"
