openspending_id,amount,category_name,category_label,subcategory_name,subcategory_label,time_name,time_year,time_month,time_day,time_week,time_yearmonth,time_quarter,time
9fbb672d56f5522bfec8bfbb2f83a24488d2bd4c,865014988.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-01-31,2012,01,31,05,201201,0,2012-01-31
bee116829069921169e425f546f4697c892a7378,10274355622.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-02-29,2012,02,29,09,201202,0,2012-02-29
27119d57407894523aa894b24d34b78928d8abe0,188426007.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-03-31,2012,03,31,13,201203,0,2012-03-31
04dc00301271d7efc5f753f8ea9277fee3792450,290780486.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-04-30,2012,04,30,18,201204,1,2012-04-30
749249456e5de58c2798fa565cc777be9d861f59,3630201913.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-05-31,2012,05,31,22,201205,1,2012-05-31
3c2afe76552b886339d9beb4ea4a5bee4b7bed2b,792811244.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-06-30,2012,06,30,26,201206,1,2012-06-30
50ca2f968372abe1ed70f6336fb2845012d45405,74993773.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-07-31,2012,07,31,31,201207,1,2012-07-31
6cf16cd612b61e98403ac8d16d7f7c04b23d5e73,4272813580.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-08-31,2012,08,31,35,201208,2,2012-08-31
b1a64ef56750a3bc98f095b76ae51b02b677f022,1146956222.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-09-30,2012,09,30,39,201209,2,2012-09-30
bccef25c964c79324e4c4d02fc47031139b2e226,1052421820.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-10-31,2012,10,31,44,201210,2,2012-10-31
4c97e94ba585535c2c5190cbc3e49c1a94c9c648,-5906141246.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-11-30,2012,11,30,48,201211,2,2012-11-30
e49c7f0fd2686c47363f038dc51112c65b993008,726489407.0,skattar-a-tekjur-og-hagnad,Skattar á tekjur og hagnað,skattur-a-fjarmagnstekjur,Skattur á fjármagnstekjur,2012-12-31,2012,12,31,53,201212,3,2012-12-31
37f657105cf25c7ec43f67ea129eaf9af3a26711,278594379.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-01-31,2012,01,31,05,201201,0,2012-01-31
3b47541fdadf53b668511b3628fb25a1fc5ab488,220019395.0,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,skattar-a-launagr-og-vinnuafl,Skattar á launagr. og vinnuafl,2012-02-29,2012,02,29,09,201202,0,2012-02-29
