openspending_id,level,cofog3_name,cofog3_label,cofog2_name,cofog2_label,from_name,from_label,cofog1_name,cofog1_label,amount,time_name,time_year,time_month,time_day,time_week,time_yearmonth,time_quarter,time
c82898f857b9385a0e6474f8f2c3a983e52b42ee,Brčko Distrikt,10-4-0,Porodica,10-4,Porodica,refundacija-privr-subjekt-za-porod-odsust,Refundacija privr. subjekt. za porod odsust.,10,Penzije i socijalno,1100000.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
f54a470be1cd1b276f7ac7b3095f6603b16ff10c,Brčko Distrikt,10-9-0,Administracija socijalne zaštite,10-9,Administracija socijalne zaštite,centar-za-socijalni-rad,Centar za socijalni rad,10,Penzije i socijalno,83155371.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
2c6ccf6e71e6eee49f6a38e7cc504cece5857d7e,Brčko Distrikt,10-9-0,Administracija socijalne zaštite,10-9,Administracija socijalne zaštite,sredstva-za-sub-osobama-u-stanju-soc-potreba,Sredstva za sub. osobama u stanju soc. potreba,10,Penzije i socijalno,700000.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
b23b15cf3e0da9426b4fb09121185e20e784cbc0,Brčko Distrikt,10-9-0,Administracija socijalne zaštite,10-9,Administracija socijalne zaštite,smjestaj-maloljet-i-punoljet-sticenika-u-ustanove,Smještaj maloljet. i punoljet. štićenika u ustanove,10,Penzije i socijalno,590000.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
26963b7852642212e114865a56c7e942da88854e,Brčko Distrikt,10-9-0,Administracija socijalne zaštite,10-9,Administracija socijalne zaštite,izdaci-za-javnu-kuhinju,Izdaci za javnu kuhinju,10,Penzije i socijalno,300000.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
8b10be117da9ced055996963d8078562bcb9e9b0,Brčko Distrikt,10-9-0,Administracija socijalne zaštite,10-9,Administracija socijalne zaštite,jednokratne-pomoci-3-fond-solidarnosti,Jednokratne pomoći - 3 Fond Solidarnosti,10,Penzije i socijalno,200000.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
d11b53dec053dbbaebf0545d164555f2e04695de,Brčko Distrikt,10-4-0,Porodica,10-4,Porodica,djeca-i-odrasli-pod-starateljstvom,Djeca i odrasli pod starateljstvom,10,Penzije i socijalno,143400.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
a6a2c643508be177fe57959527473ff0a4563e74,Brčko Distrikt,10-4-0,Porodica,10-4,Porodica,materinski-dodatak,Materinski dodatak,10,Penzije i socijalno,125160.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
e771444f718f373c2b3ad79ca48ac2bafbc055d5,Brčko Distrikt,10-4-0,Porodica,10-4,Porodica,oprema-za-novorodence,Oprema za novorođenče,10,Penzije i socijalno,117350.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
8e1024154d245c6c63bfc75f47fe7a77de7f7cdb,Brčko Distrikt,10-9-0,Administracija socijalne zaštite,10-9,Administracija socijalne zaštite,nabavka-lijekova-i-trosk-sahrane-za-korisnike-st-soc-pomoci,Nabavka lijekova i trošk. sahrane za korisnike st. soc. pomoći,10,Penzije i socijalno,75000.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
439be1f70f774fba4d9f0a2dd57319065096b227,Brčko Distrikt,08-6-0,Administracija kulture i religije,08-6,Administracija kulture i religije,pododjeljenje-za-turizam-kulturu-i-sport,Pododjeljenje za turizam kulturu i sport,08,Kultura i religija,543442203.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
efe39246e7768fca666a8a91727d3d2e039a5bb5,Brčko Distrikt,09-1-2,Osnovne škole,09-1,Osnovno obrazovanje,osnovno-obrazovanje,Osnovno obrazovanje,09,Obrazovanje,2035851726.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
f41b8f8a3eacbdc16d813b9ca0326f7d25010fa9,Brčko Distrikt,09-2-2,Srednje škole,09-2,Srednje škole,srednje-obrazovanje,Srednje obrazovanje,09,Obrazovanje,948112422.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
3c0ddb2f15569383e91398f9eb29838de5f44434,Brčko Distrikt,09-8-0,Administracija obrazovanja,09-8,Administracija obrazovanja,pododjeljenje-za-zajed-poslove,Pododjeljenje za zajed. poslove,09,Obrazovanje,313697909.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
feaafc72203e8b7b0683537b91a7280f542cd41d,Brčko Distrikt,09-1-1,Predškolsko obrazovanje,09-1,Osnovno obrazovanje,obdeniste-nasa-djeca,Obdenište 'Naša djeca',09,Obrazovanje,155689194.0,2012-01-01,2012,01,01,00,201201,0,2012-01-01
