title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Vlada,4636211,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zapadnohercegovački kanton
Min. finansija,6131674,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zapadnohercegovački kanton
Skupština,976166,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zapadnohercegovački kanton
Uprava za inspek. poslove,755392,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zapadnohercegovački kanton
Arhiv,117054,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Zapadnohercegovački kanton
Ured za zakonodavstvo,77478,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zapadnohercegovački kanton
MUP,11818758,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Zapadnohercegovački kanton
Općinski sudovi,2211887,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Županijski sud ŠB,662374,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Županijsko javno tužiteljstvo ŠB,609581,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Uprava za CZ,403776,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Zapadnohercegovački kanton
Min. pravosuđa i uprave,478709,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Županijsko javno pravobr. ŠB,149992,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Županijski zavod za pravnu pomoć,100549,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Min. gospodarstva,2797805,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Zapadnohercegovački kanton
Uprava za ceste,18550,2013,04,Ekonomija,04.5,Transport,04.5.1,Ceste,Zapadnohercegovački kanton
Zavod za poljopr.,160311,2013,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.1,Agrokultura,Zapadnohercegovački kanton
"Min. zdrav., rada i soc. skrbi",3536666,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zapadnohercegovački kanton
Zavod za javno zdravstvo,115985,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Zapadnohercegovački kanton
Min. hr. branitelja iz domov. rata,822648,2013,10,Penzije i socijalno,10.7,Socijalna politika,10.7.0,Socijalna politika,Zapadnohercegovački kanton
Osnovno obrazovanje,20146670,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Zapadnohercegovački kanton
Srednje obrazovanje,8886530,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Zapadnohercegovački kanton
"Min. obrazov., kult. i sporta",1828326,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zapadnohercegovački kanton
"Min. prost. uređ., resursa i zašt. okoliša",1270320,2013,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Zapadnohercegovački kanton
Uprava za geo. i imovinsko pravne odnose,142800,2013,06,Naše ulice,06.1,Stambeno,06.1.0,Stambeno,Zapadnohercegovački kanton
