title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level,
Ustavni sud RS-a,1855653,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Vazduhoplovni servis,1105848,2013,04,Ekonomija,04.5,Transport,04.5.4,Avijacija,Republika Srpska,
Vijeće naroda RS-a,2895578,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Visoke šk. u RS-u,1399327,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Viši privredni sud,842062,2013,09,Obrazovanje,09.3,Specijalno i umjetničko obrazovanje,09.3.0,Specijalno i umjetničko obrazovanje,Republika Srpska,
Vlada RS-a,5399803,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Vrhovni sud RS-a,2668433,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Zavod za obrazov. odraslih,1476503,2013,09,Obrazovanje,09.5,Ostalo obrazovanje,09.5.0,Ostalo obrazovanje,Republika Srpska,
Akademija nauka i umjetnosti RS - racun,260562,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Republika Srpska,
Direkcija za civilnu vazdušnu plovidbu - racun,3685319,2013,04,Ekonomija,04.5,Transport,04.5.4,Avijacija,Republika Srpska,
Ekonomsko - socijalni savjet,85473,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Fond partner,471504,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Institucije kulture - racun,2524050,2013,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Republika Srpska,
Jedinica implementaciju projekata u zdravstvu,13745215,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Jedinica za koordinaciju poljoprivrednih projekata,6698454,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Jedinica za upravljanje projektima pri prostornom uređenju,6413292,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
JU Agencija za akreditaciju VŠU RS,245726,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Republika Srpska,
JU Agencija za mirno rješavanje radnih sporova,253138,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
JU Akademska i istraživacka mreža RS- SARNET - racun,643695,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Republika Srpska,
JU Andrićev institut - žiro račun,105311,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Republika Srpska,
JU Vode Srpske,7908460,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Katolicka gimnazija,361496,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Republika Srpska,
Komisija za koncesije - racun,780681,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
