title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Opšte javne usluge,2792748,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Nevesinje
Javni red i sigurnost,198789,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Nevesinje
Ekonomski poslovi,47839,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Nevesinje
Zaštita životne sredine,294326,2013,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Nevesinje
Stambeni i zajednički poslovi,126969,2013,06,Naše ulice,06.5,Razvoj zajednice,06.5.0,Razvoj zajednice,Nevesinje
Zdravstvo,1000,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Nevesinje
"Rekreacija, kultura i religija",506082,2013,08,Kultura i religija,08.6,Administracija kulture i religije,08.6.0,Administracija kulture i religije,Nevesinje
Obrazovanje,430976,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Nevesinje
Socijalna zaštita,901098,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Nevesinje
Ostalo,120031,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Nevesinje
Otplata dugova,794917,2013,01,Rad Vlade,01.7,Izdvajanja za javni dug,01.7.0,Izdvajanja za javni dug,Nevesinje
Opšte javne usluge,3793072,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Novi Grad
Odbrana,1433,2013,02,Odbrana,02.2,Civilna zaštita,2.2.2,Civilna zaštita,Novi Grad
Javni red i sigurnost,10324,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Novi Grad
Ekonomski poslovi,137645,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Novi Grad
Zaštita životne sredine,173114,2013,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Novi Grad
Stambeni i zajednički poslovi,2493251,2013,06,Naše ulice,06.5,Razvoj zajednice,06.5.0,Razvoj zajednice,Novi Grad
Zdravstvo,80262,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Novi Grad
"Rekreacija, kultura i religija",713274,2013,08,Kultura i religija,08.6,Administracija kulture i religije,08.6.0,Administracija kulture i religije,Novi Grad
Obrazovanje,715444,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Novi Grad
Socijalna zaštita,1201717,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Novi Grad
Ostalo,456450,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Novi Grad
Otplata dugova,851832,2013,01,Rad Vlade,01.7,Izdvajanja za javni dug,01.7.0,Izdvajanja za javni dug,Novi Grad
Opšte javne usluge,2298644,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Čelinac
Javni red i sigurnost,57231,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Čelinac
Ekonomski poslovi,101979,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Čelinac
Zaštita životne sredine,92885,2013,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Čelinac
Stambeni i zajednički poslovi,139946,2013,06,Naše ulice,06.5,Razvoj zajednice,06.5.0,Razvoj zajednice,Čelinac
"Rekreacija, kultura i religija",237330,2013,08,Kultura i religija,08.6,Administracija kulture i religije,08.6.0,Administracija kulture i religije,Čelinac
Obrazovanje,517847,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Čelinac
Socijalna zaštita,1235440,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Čelinac
Ostalo,494320,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Čelinac
Otplata dugova,560678,2013,01,Rad Vlade,01.7,Izdvajanja za javni dug,01.7.0,Izdvajanja za javni dug,Čelinac
Opšte javne usluge,4925148,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Grad Trebinje
Javni red i sigurnost,863253,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Grad Trebinje
