title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Vlada,38596503,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Min. finansija,24019147,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Stručna služ. za zajednič. poslove,4581984,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Skupština,2805549,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Zavod za informatiku i statistiku,481191,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Kanton Sarajevo
MUP,64802480,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Kanton Sarajevo
Min.pravde i uprave,37023236,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Kantonalna uprava CZ,9397160,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Kanton Sarajevo
Kant. zavod za pružanje bespl. prav. pomoći,222525,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Kanton Sarajevo
Min. saobračaja,27188908,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Min. privrede,13441942,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Zavod za planiranje razvoja KS,2795762,2013,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Kanton Sarajevo
Direkcija za robne rezerve,3124387,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Min. zdravstva,2938062,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Kanton Sarajevo
Min. za rad soc. politiku raselj. lica i izbjeg.,82236704,2013,10,Penzije i socijalno,10.7,Socijalna politika,10.7.0,Socijalna politika,Kanton Sarajevo
Min. za boračka pitanja,22439193,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Min. kulture i sporta,23378341,2013,08,Kultura i religija,08.6,Administracija kulture i religije,08.6.0,Administracija kulture i religije,Kanton Sarajevo
Min. obrazov. i nauke,16305996,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Osnovno obrazovanje,87857508,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Kanton Sarajevo
Srednje obrazovanje,57586729,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Kanton Sarajevo
Visoko obrazovanje,66199700,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Kanton Sarajevo
Vrtići,8200159,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.1,Predškolsko obrazovanje,Kanton Sarajevo
Min. prostor. uređenja i zaštitu okoliša,35215642,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Min. stambene politike,1987101,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton Sarajevo
Zavod za izgradnju KS,2090634,2013,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Kanton Sarajevo
