title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Min. finansija,2031217,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
Služba za zajedn. poslove,2486459,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
Uprava za inspekc. poslove,1993564,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
Skupština,1541001,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
Stručna sl. Vlade,1284409,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
Ured premijera,469517,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
MUP,38189574,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zeničko-Dobojski kanton
Min. pravosuđe i upravu,17431389,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
Uprava CZ,640180,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zeničko-Dobojski kanton
Min za poljopr. šumar. i vodopr.,8842457,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
"Min. za prost. uređ., promet i komun. i zašt. okoline",13031686,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
Min. za privredu,3500585,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Zeničko-Dobojski kanton
Direkcija za robne rezerve,155936,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
Osnovno obrazovanje,68249937,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Zeničko-Dobojski kanton
Srednje obrazovanje,38128225,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Zeničko-Dobojski kanton
Visoko obrazovanje,15586267,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Zeničko-Dobojski kanton
Min za obraz. nauku kult. i sport,9371755,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
Đački dom,485731,2013,09,Obrazovanje,09.6,Studentski standard,09.6.0,Studentski standard,Zeničko-Dobojski kanton
Pedagoški zavod,454669,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Zeničko-Dobojski kanton
Min. zdravstva,855965,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Zeničko-Dobojski kanton
"Min. za rad, soc. pol. i izbjeglice",26209719,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Zeničko-Dobojski kanton
Min. za boračka pitanja,6218740,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Zeničko-Dobojski kanton
