title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Ministarstvo finansija,2041316,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Skupština,961610,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Inspektorat,547159,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Služba za zajedn. poslove,474757,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Vlada,339070,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Uprava CZ,114164,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosanskopodrinjski kanton
Uprava policije,5017591,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosanskopodrinjski kanton
MUP,1265376,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosanskopodrinjski kanton
Opštinski sud,977023,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosanskopodrinjski kanton
Kantonalni sud,479685,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosanskopodrinjski kanton
Kantonalno tužilaštvo,223456,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosanskopodrinjski kanton
"Min. za pravosuđe, upravu i radne odnose",235441,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Kantonalno pravobranilaštvo,93492,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosanskopodrinjski kanton
Osnovno obrazovanje,5657417,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Bosanskopodrinjski kanton
Srednje obrazovanje,3365254,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Bosanskopodrinjski kanton
"Min. za obrazovanje, kulturu i sport",2371841,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Centar za socijalni rad,5598475,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Bosanskopodrinjski kanton
"Min. za soc. politiku, zdrav., ras. lica i izbj.",531067,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Min. za boračk. pitanja,962332,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Min. za urban. prostorn. uređenje i zašt. okoliša,277570,2013,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Bosanskopodrinjski kanton
Min. za privredu,1271805,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Dir. za ceste,323940,2013,04,Ekonomija,04.5,Transport,04.5.1,Ceste,Bosanskopodrinjski kanton
Kan. uprava za šumarstvo,220238,2013,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.2,Šume,Bosanskopodrinjski kanton
Dir. robnih rezervi,566202,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Agencija za privatiz.,110054,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Bosanskopodrinjski kanton
Služba za odnose sa javnošću,74891,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Ured premijera,52400,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Ured za internu reviziju,65364,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosanskopodrinjski kanton
Arhiv,50494,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Bosanskopodrinjski kanton
