title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Vlada,2899818,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Služ. a stručne i zajednič. poslove,266549,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Min. finansija,1506632,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Skupština,1727844,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Kanton. uprava za inspekc. poslove,1686536,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Kabinet premijera,396949,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Ured za zakonodavstvo,76053,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Ured za zajedničke poslove,3018515,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Ured Vlade,116930,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
MUP,31446764,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Unsko-sanski kanton
Općinski sudovi,9538007,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
Kanton. tužilaštvo,2621988,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
Kantonalni sud,2507453,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
Kanton. uprava CZ,288221,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
Min. pravosuđa i uprave,536873,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Kanton. pravobranilaštvo,221929,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
Kanton. zavod za bespl. pravnu pomoć,36672,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
"Min poljopr., vodopr. i šumar.",4407265,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Min. privrede,688572,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Unsko-sanski kanton
Kanton. uprava za šumar.,1543114,2013,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.2,Šume,Unsko-sanski kanton
Poljopr. zavod,393200,2013,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.1,Agrokultura,Unsko-sanski kanton
Komisija za koncesije,133193,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Unsko-sanski kanton
Min. zdravstva i soc. politike,11713038,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Unsko-sanski kanton
Min. za pitanja bor. i RVI,5269224,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
"JU ""Soc.-pedag. životna zajednica""",1302580,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Unsko-sanski kanton
Institucije kulture,845720,2013,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Unsko-sanski kanton
Osnovno obrazov.,47334254,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Unsko-sanski kanton
Srednje obrazov.,23189961,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Unsko-sanski kanton
Visoko obrazov.,9143513,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Unsko-sanski kanton
"Min. obraz., nauke i kult.",6571795,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
JU Pedagoški zavod,295884,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Unsko-sanski kanton
"Min. za građ., prost uređ. i zašt. okoline",1716501,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Kant. uprava za geo. i imov-pravne posl.,224847,2013,06,Naše ulice,06.1,Stambeno,06.1.0,Stambeno,Unsko-sanski kanton
Kanton. zavod za prostr. uređenje i plan.,78758,2013,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Unsko-sanski kanton
