title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Min. finansija,2417695,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Srednjebosanski kanton
Skupština,2198089,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Srednjebosanski kanton
Vlada SBK,1701849,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Srednjebosanski kanton
Kanton. arhiv,247476,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Srednjebosanski kanton
MUP,30497214,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Srednjebosanski kanton
Općinski sudovi,8034347,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Srednjebosanski kanton
Kanton. uprava za CZ,520779,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Srednjebosanski kanton
Kantonalni sud,2250567,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Srednjebosanski kanton
Kanton. tužilaštvo SBK,1394097,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Srednjebosanski kanton
Min. pravosuđ. i uprave,574412,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Srednjebosanski kanton
Kanton. javno pravobr.,208681,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Srednjebosanski kanton
"Min. šumar., poljopr. i vodopr.",4954146,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Srednjebosanski kanton
Min. privrede,2774022,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Srednjebosanski kanton
Min. zdrav. i soc. politike,10732366,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Srednjebosanski kanton
Kanton. uprava za pitanja borac i inv odb.-oslob. Rata,3240439,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Srednjebosanski kanton
Osnovno obrazov.,44050170,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Srednjebosanski kanton
Srednje obrazov.,24725747,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Srednjebosanski kanton
"Min. obrazov., nauke, kult. i sporta",9607332,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Srednjebosanski kanton
"Min. prostr.uređenja, obn. i povrat.",1251695,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Srednjebosanski kanton
Kant. uprava za geo. i imov-pravne posl.,204666,2013,04,Ekonomija,04.8,Ekonomska istraživanja,04.8.4,Geološka istraživanja,Srednjebosanski kanton
"Kanton. zavod za urb., prost. plan. i zašt. kult. histo. naslije.",194070,2013,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Srednjebosanski kanton
