title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Vlada,4590834,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Min. finansija,6930941,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Uprava za inspek. poslove,3576443,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Skupština,2937457,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Ured za zajed. poslove,1416823,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
"Min. poljop., šumar. i vodopr.",9739026,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
"Min. ind., energ. i rudarstva",732095,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
"Min. trgov., turizma i saobrač.",1471850,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Min. razvoja i poduzetništva,823859,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Tuzlanski kanton
Direkc. robnih rezervi,133094,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
MUP,46777923,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Tuzlanski kanton
Min. pravosuđ. i uprave,22910176,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Uprava CZ,1313904,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Tuzlanski kanton
Osnovno obrazovanje,75696766,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Tuzlanski kanton
Srednje obrazovanje,43163316,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Tuzlanski kanton
Visoko obrazovanje,31165699,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Tuzlanski kanton
"Min. obraz. nauke, kult. i sporta",5946641,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Pedagoški zavod,629161,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Tuzlanski kanton
Min. zdravstva,332163,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Tuzlanski kanton
Min. za rad soc. politiku i povratak,36061879,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Tuzlanski kanton
Min. za boračka pitanja,10101387,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
Min. prosto. uređenja i zaštite okolice,2377352,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Tuzlanski kanton
