title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Min. finasija,925064,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
Vlada,1729704,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
Skupština,737476,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
Uprava za inspek. poslove,326444,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
MUP,5369759,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Posavski kanton
Min. pravosuđ. i uprave,1693758,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Posavski kanton
Kantonalni sud Odžak,692397,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Posavski kanton
Kantonalno tužiteljstvo,451943,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Posavski kanton
Uprava za CZ,249977,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Posavski kanton
Županijsko javno pravobranitelj.,60826,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Posavski kanton
"Min poljopr., vodoprivr. i šumarstv.",1976435,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
"Min. promet veza, turiz. i zašt. okoliša",756641,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
Min. gospodars. i prost. uređenja,391367,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Posavski kanton
Agencija za privatizaciju,164614,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Posavski kanton
Osnovno obrazovanje,6810297,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Posavski kanton
Srednje obrazovanje,3311719,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Posavski kanton
"Min. prosvj., zanan., kulture i sporta",943441,2013,07,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
"Min. zdravstva, rada i soc. politike",1605900,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Posavski kanton
Min. branitelja,713005,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Posavski kanton
