title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Min. finasija,1173248,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton 10
Skupština,1716607,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton 10
Vlada,1178014,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton 10
Uprava za inspekc.posl.,907039,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton 10
Ured za zakonodavstvo,111161,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Kanton 10
MUP,12097185,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Kanton 10
Min. pravosuđ. i uprave,4428886,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton 10
Uprava za CZ,286569,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Kanton 10
Uprava za ceste,2827399,2013,04,Ekonomija,04.5,Transport,04.5.1,Ceste,Kanton 10
"Min. poljopr., vodopr. i šumar.",3174264,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton 10
Min. gospodarstva,1748061,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton 10
Direk. robnih rezervi,59802,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton 10
"Min. zdrav., rada, soc. skrbi i prognan.",4563884,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Kanton 10
Uprava za pitanje branitelja,922175,2013,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Kanton 10
Osnovno obrazovanje,14147777,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Kanton 10
Srednje obrazovanje,7565910,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Kanton 10
"Min. znanosti,prosvj., kult. i športa",2606590,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton 10
Min. graditeljstva,390433,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Kanton 10
Uprava za geo. imo.-pravne poslove,84005,2013,06,Naše ulice,06.1,Stambeno,06.1.0,Stambeno,Kanton 10
